"name","Cena","Hodnota","Jednotka","Rok","Mzda"
Banány žluté,27.304640000000013,1.0,kg,2006,20342.3816
Banány žluté,30.84805555555558,1.0,kg,2007,21724.6053
Banány žluté,30.58639130434784,1.0,kg,2008,23475.1711
Banány žluté,30.562138888888892,1.0,kg,2009,24238.1711
Banány žluté,27.44330303030302,1.0,kg,2010,24722.1974
Banány žluté,26.965666666666664,1.0,kg,2011,25284.3816
Banány žluté,31.00255555555556,1.0,kg,2012,26077.1184
Banány žluté,31.78861111111109,1.0,kg,2013,25670.8421
Banány žluté,31.648277777777782,1.0,kg,2014,26323.5526
Banány žluté,31.913722222222212,1.0,kg,2015,26959.7237
Banány žluté,31.72249999999999,1.0,kg,2016,27946.9211
Banány žluté,31.074444444444428,1.0,kg,2017,29735.7763
Banány žluté,29.32144444444445,1.0,kg,2018,31980.2632
Cukr krystalový,21.726613333333344,1.0,kg,2006,20342.3816
Cukr krystalový,21.9207083333333,1.0,kg,2007,21724.6053
Cukr krystalový,21.09692753623183,1.0,kg,2008,23475.1711
Cukr krystalový,19.811083333333304,1.0,kg,2009,24238.1711
Cukr krystalový,18.269424242424243,1.0,kg,2010,24722.1974
Cukr krystalový,22.45022222222223,1.0,kg,2011,25284.3816
Cukr krystalový,24.26683333333334,1.0,kg,2012,26077.1184
Cukr krystalový,24.15500000000001,1.0,kg,2013,25670.8421
Cukr krystalový,22.02627777777779,1.0,kg,2014,26323.5526
Cukr krystalový,17.797333333333334,1.0,kg,2015,26959.7237
Cukr krystalový,17.587333333333333,1.0,kg,2016,27946.9211
Cukr krystalový,19.960833333333348,1.0,kg,2017,29735.7763
Cukr krystalový,15.750333333333337,1.0,kg,2018,31980.2632
Eidamská cihla,110.94665333333342,1.0,kg,2006,20342.3816
Eidamská cihla,122.67988888888898,1.0,kg,2007,21724.6053
Eidamská cihla,135.2790869565217,1.0,kg,2008,23475.1711
Eidamská cihla,111.66619444444444,1.0,kg,2009,24238.1711
Eidamská cihla,119.95209090909096,1.0,kg,2010,24722.1974
Eidamská cihla,122.38299999999994,1.0,kg,2011,25284.3816
Eidamská cihla,128.07983333333328,1.0,kg,2012,26077.1184
Eidamská cihla,141.96944444444455,1.0,kg,2013,25670.8421
Eidamská cihla,150.60855555555568,1.0,kg,2014,26323.5526
